Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.6,-62.2,90.0,bottom
C1,134.198881,-65.897672,180.0,top
C2,149.4,-58.6,0.0,top
C3,136.0,-58.2,90.0,top
C4,137.6,-58.4,90.0,top
C5,133.6,-52.4,270.0,top
C6,154.2,-61.8,180.0,top
C7,139.0,-49.4,90.0,top
C8,136.6,-50.2,0.0,top
C9,151.8,-60.4,0.0,top
CN1,147.700102,-52.800127,180.0,top
D1,129.8,-67.2,180.0,top
FB1,141.6,-51.012499,270.0,top
FB2,142.387501,-56.8,180.0,top
J1,129.8,-56.26,180.0,top
L1,147.0,-57.8,270.0,top
OSC1,153.0,-64.4,180.0,top
R1,149.775,-69.2,0.0,top
R10,144.709999,-61.580002,0.0,top
R11,129.8,-66.2,180.0,top
R2,154.4,-69.2,0.0,top
R3,145.0,-69.2,0.0,top
R4,140.4,-69.2,0.0,top
R5,139.5,-64.6,0.0,top
R6,139.5,-63.0,0.0,top
R7,144.739998,-62.580002,180.0,top
R8,144.739998,-59.580002,180.0,top
R9,144.709999,-60.580002,0.0,top
SW1,149.729998,-72.95,270.0,top
SW2,154.449998,-73.0,270.0,top
SW3,145.049998,-73.0,270.0,top
SW4,140.4,-73.0,270.0,top
SW5,132.7,-72.65,0.0,top
U1,135.55,-63.2,90.0,top
U2,137.2,-53.8,180.0,top
U3,148.6,-61.8,270.0,top
